dagQ15.txt 5_4_3_2x2.txt 0.3989547038327526 0.4 297.5 [6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 0, 0, 6, 0, 0, 3, 0, 5, 3, 0, 0, 3, 0, 0, 5, 3, 3, 3, 3, 5, 5, 0, 3, 5, 5, 3, 3, 3, 3, 5, 5, 5, 3, 0, 3, 0, 5, 3, 5, 3, 4, 3, 5, 3, 5, 4, 5, 5, 5, 3, 5, 2, 5, 4, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2, 2, 2, 2, 2, 2, 4, 4, 5, 7, 4, 4, 4, 2, 4, 4, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 7, 4, 7, 2, 1, 2, 2, 0, 4, 7, 2, 7, 1, 7, 7, 7, 1, 7, 1, 7, 7, 4, 7, 7, 1, 1, 7, 1, 1, 7, 7, 1, 7, 1, 1, 1, 7, 1, 1, 1, 7, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1] 
dagQ15.txt 5_4_3_2x2.txt 0.44773519163763065 0.45 235.66666666666666 [3, 3, 0, 0, 3, 3, 3, 3, 3, 4, 3, 0, 4, 3, 4, 3, 3, 4, 3, 3, 3, 0, 0, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 7, 4, 4, 3, 4, 4, 7, 4, 7, 7, 7, 4, 7, 5, 4, 7, 0, 7, 7, 7, 7, 7, 4, 5, 7, 5, 5, 7, 7, 5, 0, 7, 0, 5, 0, 7, 5, 4, 5, 7, 5, 0, 5, 5, 5, 7, 0, 0, 5, 5, 5, 5, 0, 5, 0, 5, 5, 5, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 6, 6, 5, 1, 5, 6, 0, 0, 6, 6, 6, 0, 6, 6, 0, 0, 6, 6, 0, 6, 0, 6, 6, 6, 1, 1, 1, 6, 6, 6, 2, 1, 0, 1, 6, 2, 6, 1, 2, 2, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2] 
dagQ15.txt 5_4_3_2x2.txt 0.4808362369337979 0.5 205.75 [2, 2, 5, 2, 2, 6, 2, 2, 2, 6, 2, 2, 2, 6, 2, 2, 6, 2, 2, 2, 2, 4, 2, 4, 6, 6, 2, 6, 6, 6, 6, 2, 6, 6, 4, 6, 6, 6, 4, 6, 2, 1, 2, 4, 6, 4, 4, 4, 6, 4, 1, 6, 4, 4, 4, 4, 1, 4, 4, 6, 4, 4, 1, 1, 4, 4, 1, 4, 4, 4, 4, 1, 4, 1, 4, 1, 4, 1, 3, 1, 1, 1, 1, 4, 5, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 5, 3, 0, 3, 3, 3, 5, 3, 3, 5, 5, 5, 0, 5, 5, 5, 3, 0, 1, 1, 3, 5, 3, 5, 0, 0, 5, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 0, 3, 4, 5, 0, 7, 5, 5, 3, 0, 5, 7, 0, 7, 1, 7, 7, 7, 7, 7, 7, 0, 7, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 7, 0, 0, 0, 0, 0, 0, 4, 0, 7, 0, 0, 0, 4, 0, 0, 0] 
dagQ15.txt 5_4_3_2x2.txt 0.4616724738675958 0.6 207.6 [0, 0, 5, 4, 0, 0, 0, 6, 0, 6, 0, 0, 6, 6, 0, 0, 6, 0, 0, 0, 0, 4, 0, 1, 6, 0, 0, 6, 6, 6, 6, 6, 6, 6, 1, 0, 6, 1, 4, 6, 0, 4, 6, 1, 6, 1, 1, 6, 6, 1, 0, 6, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 3, 1, 1, 0, 1, 1, 5, 1, 1, 1, 0, 1, 3, 3, 3, 4, 3, 3, 3, 1, 4, 1, 1, 0, 3, 3, 3, 4, 3, 3, 2, 3, 2, 3, 4, 4, 4, 4, 4, 4, 4, 2, 2, 4, 4, 4, 4, 4, 2, 2, 2, 4, 4, 2, 7, 4, 4, 4, 2, 4, 4, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 0, 4, 7, 2, 5, 2, 2, 0, 4, 5, 2, 7, 5, 5, 5, 7, 7, 7, 7, 7, 5, 0, 5, 7, 5, 7, 5, 5, 5, 7, 4, 5, 0, 5, 5, 7, 0, 5, 5, 5, 0, 5, 7, 5, 7, 5, 5, 5, 5, 5, 5, 5] 
dagQ15.txt 5_4_3_2x2.txt 0.4878048780487805 0.7 206.4 [3, 3, 5, 1, 3, 3, 3, 3, 3, 4, 3, 0, 4, 3, 4, 3, 3, 4, 3, 3, 0, 4, 0, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 7, 4, 4, 4, 4, 4, 7, 4, 7, 7, 7, 4, 7, 5, 4, 7, 0, 7, 7, 7, 7, 7, 4, 5, 7, 5, 5, 7, 7, 5, 0, 1, 5, 5, 0, 7, 5, 4, 5, 7, 5, 0, 5, 5, 5, 7, 0, 0, 5, 5, 5, 5, 0, 5, 0, 5, 5, 5, 6, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 6, 6, 5, 1, 5, 6, 0, 0, 6, 6, 6, 0, 6, 6, 0, 0, 6, 6, 0, 6, 0, 6, 6, 6, 1, 1, 1, 6, 6, 4, 2, 1, 0, 1, 6, 2, 6, 1, 2, 2, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 4, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 4, 2, 2, 2] 
dagQ15.txt 5_4_3_2x2.txt 0.4878048780487805 0.9 206.4 [3, 3, 5, 1, 3, 3, 3, 3, 3, 4, 3, 0, 4, 3, 4, 3, 3, 4, 3, 3, 0, 4, 0, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 7, 4, 4, 4, 4, 4, 7, 4, 7, 7, 7, 4, 7, 5, 4, 7, 0, 7, 7, 7, 7, 7, 4, 5, 7, 5, 5, 7, 7, 5, 0, 1, 5, 5, 0, 7, 5, 4, 5, 7, 5, 0, 5, 5, 5, 7, 0, 0, 5, 5, 5, 5, 0, 5, 0, 5, 5, 5, 6, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 6, 6, 5, 1, 5, 6, 0, 0, 6, 6, 6, 0, 6, 6, 0, 0, 6, 6, 0, 6, 0, 6, 6, 6, 1, 1, 1, 6, 6, 4, 2, 1, 0, 1, 6, 2, 6, 1, 2, 2, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 4, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 4, 2, 2, 2] 
dagQ15.txt 5_4_3_2x2.txt 0.4878048780487805 0.55 206.4 [3, 3, 5, 1, 3, 3, 3, 3, 3, 4, 3, 0, 4, 3, 4, 3, 3, 4, 3, 3, 0, 4, 0, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 7, 4, 4, 4, 4, 4, 7, 4, 7, 7, 7, 4, 7, 5, 4, 7, 0, 7, 7, 7, 7, 7, 4, 5, 7, 5, 5, 7, 7, 5, 0, 1, 5, 5, 0, 7, 5, 4, 5, 7, 5, 0, 5, 5, 5, 7, 0, 0, 5, 5, 5, 5, 0, 5, 0, 5, 5, 5, 6, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 6, 6, 5, 1, 5, 6, 0, 0, 6, 6, 6, 0, 6, 6, 0, 0, 6, 6, 0, 6, 0, 6, 6, 6, 1, 1, 1, 6, 6, 4, 2, 1, 0, 1, 6, 2, 6, 1, 2, 2, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 4, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 4, 2, 2, 2] 
dagQ15.txt 5_4_3_2x2.txt 0.47560975609756095 0.65 205.4 [1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 6, 6, 1, 1, 6, 1, 1, 1, 1, 1, 1, 5, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 5, 1, 6, 2, 5, 6, 1, 1, 6, 5, 6, 5, 2, 6, 5, 5, 2, 6, 5, 5, 2, 5, 1, 5, 5, 6, 2, 5, 5, 2, 2, 5, 2, 5, 2, 5, 2, 4, 5, 4, 5, 2, 5, 2, 0, 2, 5, 2, 2, 4, 3, 2, 2, 2, 5, 0, 5, 0, 2, 2, 5, 2, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 2, 2, 0, 3, 3, 0, 0, 0, 3, 3, 3, 3, 4, 0, 3, 0, 3, 0, 4, 0, 3, 4, 0, 4, 5, 4, 7, 3, 3, 1, 3, 7, 0, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 7, 7, 7, 4, 4, 7, 4, 7, 4, 4, 0, 7, 4, 7, 4, 0, 4, 5, 4, 7, 7, 0, 4, 7, 7, 7] 
dagQ15.txt 5_4_3_2x2.txt 0.4878048780487805 0.8 206.4 [3, 3, 5, 1, 3, 3, 3, 3, 3, 4, 3, 0, 4, 3, 4, 3, 3, 4, 3, 3, 0, 4, 0, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 7, 4, 4, 4, 4, 4, 7, 4, 7, 7, 7, 4, 7, 5, 4, 7, 0, 7, 7, 7, 7, 7, 4, 5, 7, 5, 5, 7, 7, 5, 0, 1, 5, 5, 0, 7, 5, 4, 5, 7, 5, 0, 5, 5, 5, 7, 0, 0, 5, 5, 5, 5, 0, 5, 0, 5, 5, 5, 6, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 6, 6, 5, 1, 5, 6, 0, 0, 6, 6, 6, 0, 6, 6, 0, 0, 6, 6, 0, 6, 0, 6, 6, 6, 1, 1, 1, 6, 6, 4, 2, 1, 0, 1, 6, 2, 6, 1, 2, 2, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 4, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 4, 2, 2, 2] 
dagQ15.txt 5_4_3_2x2.txt 0.4878048780487805 1 206.4 [3, 3, 5, 1, 3, 3, 3, 3, 3, 4, 3, 0, 4, 3, 4, 3, 3, 4, 3, 3, 0, 4, 0, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 7, 4, 4, 4, 4, 4, 7, 4, 7, 7, 7, 4, 7, 5, 4, 7, 0, 7, 7, 7, 7, 7, 4, 5, 7, 5, 5, 7, 7, 5, 0, 1, 5, 5, 0, 7, 5, 4, 5, 7, 5, 0, 5, 5, 5, 7, 0, 0, 5, 5, 5, 5, 0, 5, 0, 5, 5, 5, 6, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 6, 6, 5, 1, 5, 6, 0, 0, 6, 6, 6, 0, 6, 6, 0, 0, 6, 6, 0, 6, 0, 6, 6, 6, 1, 1, 1, 6, 6, 4, 2, 1, 0, 1, 6, 2, 6, 1, 2, 2, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 4, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 4, 2, 2, 2] 
dagQ15.txt 4_1x5.txt 0.5 0.5 423.0 [0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 0, 0, 9, 0, 9, 9, 0, 9, 0, 0, 0, 0, 0, 9, 0, 7, 0, 9, 7, 0, 9, 9, 9, 7, 7, 7, 0, 0, 0, 9, 0, 0, 9, 2, 9, 7, 4, 7, 9, 2, 2, 9, 4, 2, 2, 2, 2, 4, 7, 7, 4, 2, 4, 4, 7, 2, 2, 4, 4, 4, 7, 4, 2, 2, 2, 2, 4, 7, 2, 4, 4, 2, 4, 0, 7, 4, 4, 7, 2, 3, 0, 2, 4, 7, 2, 3, 3, 1, 0, 3, 0, 1, 1, 1, 3, 3, 1, 3, 0, 0, 1, 1, 3, 5, 1, 3, 7, 3, 1, 1, 3, 3, 1, 0, 5, 1, 1, 3, 0, 3, 3, 0, 3, 0, 5, 5, 6, 5, 6, 6, 1, 0, 5, 6, 3, 6, 1, 8, 5, 5, 8, 6, 5, 5, 5, 6, 5, 6, 6, 6, 6, 6, 6, 5, 8, 8, 6, 6, 6, 8, 8, 8, 8, 5, 0, 8, 8, 8, 6, 8, 5, 8, 6, 8, 8, 8, 8, 8, 8, 8] 
dagQ15.txt 4_1x5.txt 0.5470383275261324 0.55 310.75 [2, 2, 4, 2, 9, 2, 2, 9, 9, 2, 9, 2, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 9, 2, 5, 9, 2, 2, 0, 9, 9, 0, 9, 4, 5, 2, 9, 2, 9, 2, 2, 2, 6, 2, 5, 6, 5, 5, 6, 0, 0, 6, 4, 6, 6, 6, 4, 4, 5, 6, 4, 6, 5, 5, 4, 6, 4, 6, 4, 2, 6, 6, 4, 4, 6, 4, 5, 4, 5, 4, 3, 6, 6, 3, 0, 4, 5, 6, 4, 2, 6, 4, 3, 6, 1, 4, 1, 0, 4, 0, 2, 1, 2, 3, 3, 1, 0, 0, 0, 2, 3, 1, 8, 1, 2, 3, 1, 1, 3, 1, 3, 0, 0, 8, 1, 1, 3, 8, 3, 8, 0, 3, 0, 8, 0, 8, 0, 8, 8, 1, 8, 7, 8, 3, 8, 3, 1, 8, 0, 7, 0, 8, 0, 0, 8, 0, 0, 8, 8, 2, 0, 7, 0, 7, 0, 7, 8, 0, 7, 0, 7, 2, 0, 0, 7, 0, 7, 0, 0, 0, 0, 8, 7, 7, 0, 2, 7, 7, 7] 
dagQ15.txt 4_1x5.txt 0.5940766550522648 0.6 232.25 [8, 8, 8, 8, 1, 0, 8, 1, 8, 8, 2, 8, 1, 4, 8, 8, 1, 8, 8, 8, 0, 8, 8, 1, 1, 8, 1, 7, 4, 2, 8, 4, 2, 1, 2, 8, 8, 1, 6, 1, 6, 8, 8, 2, 7, 1, 9, 7, 9, 7, 2, 8, 2, 2, 9, 2, 7, 2, 2, 7, 2, 2, 6, 9, 2, 7, 2, 6, 0, 6, 2, 8, 4, 8, 2, 9, 2, 9, 7, 9, 2, 9, 9, 8, 0, 4, 2, 2, 7, 4, 6, 4, 2, 2, 7, 0, 4, 0, 4, 4, 0, 4, 0, 0, 5, 4, 0, 4, 4, 4, 4, 4, 0, 5, 0, 2, 2, 0, 0, 0, 0, 4, 0, 4, 5, 4, 5, 5, 4, 0, 5, 0, 4, 0, 0, 0, 5, 3, 0, 5, 0, 4, 6, 6, 5, 4, 0, 3, 0, 3, 6, 6, 0, 6, 3, 4, 0, 6, 2, 4, 6, 6, 6, 3, 3, 0, 6, 5, 6, 3, 6, 6, 6, 3, 6, 6, 0, 3, 6, 0, 0, 2, 6, 6, 3, 8, 6, 6, 2, 3] 
dagQ15.txt 4_1x5.txt 0.6184668989547039 0.7 233.75 [9, 9, 8, 6, 9, 2, 0, 0, 9, 0, 2, 4, 0, 2, 0, 0, 9, 0, 9, 9, 2, 8, 4, 0, 9, 2, 9, 5, 0, 6, 0, 0, 6, 5, 0, 0, 8, 9, 8, 0, 0, 6, 0, 5, 5, 9, 8, 5, 0, 5, 8, 0, 8, 4, 8, 8, 5, 8, 6, 5, 8, 6, 6, 8, 8, 5, 8, 6, 6, 6, 8, 8, 6, 8, 6, 8, 6, 5, 7, 8, 6, 8, 6, 8, 8, 6, 6, 8, 6, 2, 6, 7, 6, 7, 6, 6, 7, 7, 4, 7, 2, 2, 2, 2, 4, 0, 2, 2, 6, 6, 2, 2, 2, 4, 7, 4, 7, 6, 2, 2, 4, 2, 2, 0, 4, 4, 2, 7, 2, 2, 4, 2, 7, 2, 4, 2, 4, 3, 4, 4, 4, 4, 1, 4, 7, 4, 2, 3, 2, 3, 1, 1, 4, 4, 3, 4, 2, 1, 0, 4, 0, 2, 1, 3, 3, 4, 6, 2, 0, 3, 0, 1, 8, 3, 0, 1, 0, 3, 4, 0, 0, 4, 1, 1, 3, 0, 8, 1, 4, 3] 
dagQ15.txt 4_1x5.txt 0.6114982578397212 0.65 233.25 [1, 1, 8, 6, 7, 4, 6, 7, 1, 0, 2, 0, 7, 1, 1, 1, 7, 7, 1, 1, 2, 6, 8, 7, 7, 0, 7, 1, 2, 0, 2, 4, 2, 9, 4, 4, 0, 7, 8, 7, 2, 8, 6, 0, 1, 9, 0, 9, 7, 0, 0, 0, 9, 0, 0, 0, 9, 6, 6, 9, 0, 6, 4, 6, 6, 0, 0, 6, 0, 4, 6, 6, 9, 6, 6, 0, 6, 9, 0, 6, 6, 6, 0, 4, 6, 6, 6, 6, 9, 8, 4, 5, 6, 6, 9, 0, 8, 5, 8, 8, 0, 8, 5, 8, 8, 8, 5, 2, 8, 8, 8, 8, 5, 2, 5, 2, 6, 0, 5, 8, 5, 8, 6, 8, 2, 2, 2, 8, 4, 5, 8, 2, 8, 4, 2, 4, 8, 2, 2, 2, 5, 2, 3, 8, 8, 8, 8, 3, 4, 2, 3, 4, 2, 4, 2, 2, 2, 4, 2, 2, 4, 4, 3, 4, 3, 4, 0, 4, 4, 6, 4, 3, 8, 2, 4, 3, 0, 3, 4, 0, 2, 2, 4, 0, 3, 0, 6, 3, 4, 3] 
dagQ15.txt 4_1x5.txt 0.6167247386759582 0.8 236.0 [7, 7, 8, 4, 6, 6, 0, 7, 6, 2, 6, 2, 7, 6, 7, 7, 6, 7, 7, 7, 6, 8, 2, 6, 6, 0, 6, 6, 2, 4, 2, 8, 6, 6, 6, 9, 6, 6, 6, 6, 6, 6, 7, 2, 6, 9, 2, 9, 9, 2, 4, 6, 9, 2, 2, 2, 2, 8, 9, 9, 2, 8, 8, 2, 9, 2, 2, 8, 2, 8, 2, 6, 2, 6, 8, 2, 8, 9, 2, 2, 8, 5, 2, 8, 0, 8, 8, 9, 8, 8, 6, 8, 8, 3, 8, 5, 8, 5, 4, 8, 0, 0, 5, 4, 3, 6, 5, 0, 4, 4, 0, 0, 5, 3, 5, 0, 3, 5, 0, 5, 4, 0, 2, 6, 3, 5, 0, 0, 0, 0, 3, 0, 3, 0, 2, 0, 3, 1, 0, 5, 2, 4, 4, 3, 0, 8, 5, 1, 0, 1, 4, 4, 0, 4, 1, 2, 0, 4, 0, 8, 4, 4, 4, 1, 1, 2, 4, 3, 4, 1, 4, 4, 8, 1, 4, 4, 0, 1, 4, 0, 0, 0, 4, 4, 1, 8, 4, 4, 2, 1] 
dagQ15.txt 4_1x5.txt 0.6132404181184669 0.9 233.5 [8, 8, 8, 8, 6, 6, 8, 6, 8, 8, 6, 8, 6, 6, 8, 8, 6, 8, 8, 8, 6, 8, 8, 6, 6, 6, 6, 1, 0, 6, 8, 6, 0, 6, 2, 8, 8, 6, 8, 6, 6, 8, 8, 2, 1, 6, 2, 1, 1, 1, 2, 6, 3, 2, 2, 2, 1, 3, 3, 1, 6, 3, 4, 2, 3, 2, 2, 6, 2, 4, 8, 6, 6, 8, 0, 2, 2, 1, 4, 2, 4, 2, 2, 4, 3, 2, 2, 3, 1, 6, 4, 3, 3, 4, 1, 5, 3, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 0, 6, 4, 4, 4, 5, 9, 4, 0, 4, 5, 4, 4, 2, 5, 2, 4, 9, 9, 4, 5, 2, 5, 5, 0, 5, 0, 0, 4, 5, 9, 4, 9, 2, 6, 9, 4, 5, 2, 5, 4, 7, 9, 0, 7, 0, 7, 9, 7, 2, 7, 0, 2, 7, 0, 9, 9, 0, 0, 0, 7, 2, 0, 8, 0, 6, 9, 0, 0, 0, 0, 4, 0, 2, 0, 7, 0, 0, 0, 8, 0, 0, 0] 
dagQ15.txt 4_1x5.txt 0.3989547038327526 0.4 564.0 [8, 8, 8, 8, 2, 2, 8, 8, 8, 7, 2, 8, 8, 2, 8, 8, 2, 8, 8, 8, 2, 2, 8, 2, 2, 2, 2, 2, 7, 7, 7, 8, 2, 2, 3, 8, 8, 2, 7, 2, 2, 7, 8, 3, 2, 2, 6, 7, 7, 7, 7, 2, 3, 7, 7, 3, 3, 3, 3, 7, 3, 3, 3, 6, 3, 3, 3, 6, 6, 6, 3, 6, 7, 3, 3, 3, 6, 6, 0, 6, 6, 6, 6, 0, 3, 6, 6, 3, 7, 0, 6, 0, 6, 6, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 4, 0, 4, 4, 5, 5, 5, 6, 4, 0, 0, 0, 4, 4, 0, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 5, 5, 5, 4, 5, 9, 4, 5, 5, 4, 9, 4, 5, 9, 1, 1, 1, 1, 5, 5, 1, 1, 5, 9, 1, 9, 1, 9, 1, 9, 5, 1, 9, 1, 9, 9, 1, 1, 9, 9, 9, 1, 9, 1, 1, 9, 9, 9, 9, 1, 9, 9, 9] 
dagQ15.txt 4_1x5.txt 0.2961672473867596 0.3 400.0 [4, 4, 3, 4, 4, 4, 4, 6, 4, 6, 4, 4, 6, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 3, 4, 6, 7, 4, 6, 6, 6, 6, 4, 6, 3, 6, 4, 4, 6, 4, 7, 6, 6, 2, 9, 6, 2, 6, 6, 2, 2, 9, 6, 2, 2, 2, 5, 2, 2, 6, 2, 2, 6, 2, 6, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 5, 2, 2, 2, 2, 2, 5, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8, 0, 0, 8, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 8, 1, 8, 1, 8, 0, 1, 8, 0, 8, 8, 1, 0, 8, 8, 8, 0, 8, 1, 1, 1, 8, 8, 8, 8, 8, 8, 8] 
dagQ15.txt 4_1x5.txt 0.18989547038327526 0.2 583.5 [4, 4, 4, 6, 4, 4, 4, 6, 4, 6, 4, 4, 4, 4, 6, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 7, 4, 2, 4, 4, 2, 2, 5, 4, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 9, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 
dagQ15.txt 4_1x5.txt 0.44947735191637633 0.45 516.0 [6, 6, 6, 6, 8, 8, 6, 8, 6, 6, 8, 6, 8, 8, 6, 6, 8, 6, 6, 6, 8, 8, 6, 8, 8, 8, 8, 5, 5, 5, 6, 8, 5, 8, 7, 6, 6, 8, 0, 8, 8, 5, 6, 2, 5, 8, 2, 5, 5, 5, 5, 8, 7, 5, 2, 7, 2, 7, 7, 5, 2, 7, 0, 2, 2, 2, 2, 0, 2, 2, 7, 2, 5, 7, 7, 2, 7, 2, 3, 2, 7, 2, 2, 0, 7, 2, 7, 7, 5, 3, 2, 3, 7, 3, 5, 5, 3, 3, 0, 3, 3, 9, 0, 0, 3, 3, 0, 3, 3, 0, 9, 9, 9, 9, 3, 3, 3, 5, 9, 0, 3, 9, 3, 0, 9, 0, 0, 0, 0, 9, 0, 9, 3, 9, 9, 9, 0, 1, 0, 0, 9, 0, 4, 0, 0, 0, 0, 1, 9, 1, 4, 4, 9, 4, 1, 0, 1, 4, 1, 0, 4, 4, 4, 1, 1, 1, 4, 0, 4, 1, 4, 4, 4, 1, 4, 4, 1, 1, 4, 1, 1, 1, 4, 4, 1, 1, 0, 4, 1, 1] 
dagQ15.txt 4_1x5.txt None 0.1 20000000000.0 None 
dagQ15.txt 4_1x5.txt 0.5696864111498258 1 232.75 [5, 5, 8, 6, 8, 8, 2, 5, 6, 2, 8, 8, 5, 8, 5, 5, 8, 5, 5, 5, 8, 8, 4, 8, 8, 0, 8, 8, 0, 8, 4, 2, 8, 8, 2, 3, 8, 8, 6, 8, 8, 8, 5, 6, 8, 3, 6, 3, 3, 6, 6, 8, 3, 6, 6, 6, 6, 9, 3, 3, 6, 9, 4, 6, 3, 6, 6, 4, 6, 8, 6, 8, 6, 6, 4, 6, 8, 6, 6, 9, 9, 6, 9, 8, 3, 6, 2, 3, 9, 0, 4, 1, 9, 1, 9, 1, 1, 1, 4, 1, 0, 2, 2, 2, 4, 1, 2, 0, 6, 2, 2, 2, 1, 4, 1, 0, 1, 1, 2, 2, 0, 2, 2, 2, 4, 4, 4, 4, 2, 2, 4, 2, 1, 2, 4, 2, 4, 0, 4, 4, 0, 4, 7, 4, 4, 4, 2, 7, 2, 4, 7, 0, 0, 0, 0, 4, 4, 0, 0, 4, 2, 0, 4, 0, 7, 0, 0, 2, 0, 0, 2, 7, 6, 0, 0, 7, 2, 7, 4, 0, 0, 0, 7, 7, 7, 0, 6, 7, 0, 7] 
