dagI46.txt 1_4x4.txt True 0.10666666666666667 0.13 614.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 2, 1, 0, 7] 
dagI46.txt 1_4x4.txt True 0.10666666666666667 0.14 614.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 2, 1, 0, 7] 
dagI46.txt 1_4x4.txt True 0.10666666666666667 0.15 614.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 2, 1, 0, 7] 
dagI46.txt 1_4x4.txt True 0.10666666666666667 0.16 614.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 2, 1, 0, 7] 
dagI46.txt 1_4x4.txt True 0.10666666666666667 0.17 614.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 2, 1, 0, 7] 
dagI46.txt 1_4x4.txt True 0.10666666666666667 0.18 614.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 2, 1, 0, 7] 
dagI46.txt 1_4x4.txt True 0.10666666666666667 0.19 614.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 2, 1, 0, 7] 
dagI46.txt 1_4x4.txt True 0.15666666666666668 0.2 563.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 0, 7, 7, 7, 0, 7, 2, 1, 7, 7, 1, 7, 3, 3, 7, 7, 0, 7, 7, 1, 0, 0, 0, 3, 1, 7] 
dagI46.txt 1_4x4.txt True 0.16 0.25 552.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 0, 1, 2, 1, 2, 7, 7, 7, 1, 0, 7, 2, 2, 1, 0, 2] 
dagI46.txt 1_4x4.txt True 0.16 0.3 552.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 0, 1, 2, 1, 2, 7, 7, 7, 1, 0, 7, 2, 2, 1, 0, 2] 
dagI46.txt 1_4x4.txt True 0.16 0.35 552.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 0, 1, 2, 1, 2, 7, 7, 7, 1, 0, 7, 2, 2, 1, 0, 2] 
dagI46.txt 1_4x4.txt True 0.16 0.4 552.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 0, 1, 2, 1, 2, 7, 7, 7, 1, 0, 7, 2, 2, 1, 0, 2] 
dagI46.txt 1_4x4.txt True 0.16 0.45 552.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 2, 1, 7, 7, 7, 7, 7, 0, 7, 2, 0, 1, 2, 1, 2, 7, 7, 7, 1, 0, 7, 2, 2, 1, 0, 2] 
dagI46.txt 1_4x4.txt True 0.41333333333333333 0.5 257.0 [1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 2, 2, 3, 1, 1, 3, 3, 1, 3, 2, 6, 1, 3, 3, 6, 1, 1, 3, 3, 3, 1, 1, 3, 3, 2, 6, 1, 7, 1, 3, 5, 1, 6, 6, 1, 7, 5, 5, 3, 5, 1, 5, 7, 7, 5, 5, 5, 5, 7, 7, 5, 5, 7, 5, 7, 5, 5, 7, 5, 5, 7, 5, 5, 5, 5, 5, 7, 5, 5, 5, 7, 7, 5] 
dagI46.txt 1_4x4.txt True 0.43333333333333335 0.55 244.0 [1, 5, 5, 1, 5, 5, 1, 5, 1, 5, 5, 5, 1, 5, 5, 1, 5, 2, 5, 5, 1, 5, 2, 5, 5, 5, 5, 4, 7, 5, 5, 5, 2, 2, 5, 2, 5, 3, 5, 5, 2, 1, 5, 1, 1, 1, 5, 4, 1, 7, 5, 7, 7, 4, 4, 4, 5, 3, 1, 3, 1, 4, 3, 1, 1, 3, 7, 4, 3, 7, 3, 1, 7, 7, 3, 7, 3, 7, 7, 3, 3, 3, 1, 1, 3, 7, 3, 7, 7, 3, 7, 7, 7, 3, 7, 7, 3, 7, 3, 1] 
dagI46.txt 1_4x4.txt True 0.43333333333333335 0.6 244.0 [1, 5, 5, 1, 5, 5, 1, 5, 1, 5, 5, 5, 1, 5, 5, 1, 5, 2, 5, 5, 1, 5, 2, 5, 5, 5, 5, 4, 7, 5, 5, 5, 2, 2, 5, 2, 5, 3, 5, 5, 2, 1, 5, 1, 1, 1, 5, 4, 1, 7, 5, 7, 7, 4, 4, 4, 5, 3, 1, 3, 1, 4, 3, 1, 1, 3, 7, 4, 3, 7, 3, 1, 7, 7, 3, 7, 3, 7, 7, 3, 3, 3, 1, 1, 3, 7, 3, 7, 7, 3, 7, 7, 7, 3, 7, 7, 3, 7, 3, 1] 
dagI46.txt 1_4x4.txt True 0.5033333333333333 0.65 198.25 [3, 7, 7, 3, 3, 7, 3, 7, 3, 7, 7, 7, 3, 7, 7, 3, 1, 3, 7, 7, 3, 3, 3, 7, 1, 7, 7, 7, 3, 1, 1, 3, 7, 1, 1, 3, 3, 5, 1, 1, 1, 7, 1, 5, 0, 3, 7, 5, 1, 0, 1, 1, 5, 1, 5, 5, 7, 7, 1, 7, 5, 1, 1, 7, 7, 1, 3, 5, 5, 0, 7, 5, 3, 5, 7, 1, 1, 3, 3, 4, 5, 1, 7, 3, 1, 5, 7, 0, 3, 5, 5, 3, 4, 1, 5, 3, 7, 0, 1, 3] 
dagI46.txt 1_4x4.txt True 0.5566666666666666 0.7 182.75 [2, 5, 1, 3, 5, 5, 3, 5, 3, 5, 1, 5, 2, 1, 5, 3, 1, 3, 5, 6, 3, 1, 0, 5, 2, 5, 1, 5, 0, 3, 3, 5, 0, 1, 3, 1, 0, 4, 3, 5, 1, 5, 3, 4, 6, 1, 1, 3, 3, 7, 1, 7, 5, 3, 3, 3, 1, 3, 4, 5, 5, 3, 5, 3, 6, 1, 7, 3, 5, 7, 0, 7, 6, 5, 1, 7, 5, 7, 1, 5, 5, 4, 6, 7, 5, 7, 1, 7, 7, 5, 1, 7, 7, 4, 1, 1, 1, 7, 5, 7] 
dagI46.txt 1_4x4.txt True 0.5633333333333334 0.75 158.75 [4, 5, 5, 5, 5, 5, 1, 5, 1, 1, 5, 5, 4, 6, 5, 1, 5, 3, 1, 7, 5, 5, 7, 4, 6, 5, 7, 4, 7, 3, 1, 7, 7, 7, 3, 5, 1, 3, 6, 1, 7, 3, 6, 3, 7, 5, 7, 7, 3, 7, 1, 1, 3, 1, 3, 3, 1, 3, 3, 1, 3, 1, 7, 2, 3, 7, 3, 3, 3, 3, 1, 1, 5, 3, 3, 5, 5, 7, 1, 7, 1, 1, 2, 2, 5, 7, 3, 0, 2, 5, 0, 1, 7, 1, 0, 1, 3, 0, 5, 2] 
dagI46.txt 1_4x4.txt True 0.53 0.8 168.5 [7, 1, 5, 7, 5, 5, 5, 7, 7, 5, 5, 5, 5, 6, 7, 5, 5, 5, 5, 7, 4, 5, 5, 7, 4, 1, 6, 7, 5, 5, 5, 7, 5, 5, 5, 5, 6, 4, 2, 1, 7, 3, 4, 1, 1, 7, 2, 1, 1, 7, 1, 0, 1, 1, 1, 1, 2, 2, 3, 3, 7, 3, 3, 1, 1, 1, 0, 1, 7, 1, 3, 3, 4, 7, 3, 3, 1, 3, 3, 3, 3, 0, 1, 3, 1, 3, 3, 1, 3, 7, 7, 3, 3, 0, 3, 3, 3, 1, 0, 3] 
dagI46.txt 1_4x4.txt True 0.6133333333333333 0.85 175.0 [7, 7, 7, 1, 3, 6, 7, 7, 7, 7, 6, 3, 7, 5, 1, 6, 7, 1, 4, 3, 1, 7, 7, 7, 5, 7, 5, 6, 7, 5, 5, 7, 7, 5, 5, 1, 4, 5, 5, 5, 1, 2, 5, 0, 3, 1, 5, 0, 3, 1, 5, 6, 5, 3, 1, 0, 5, 3, 3, 7, 0, 3, 4, 1, 3, 4, 1, 0, 2, 1, 4, 7, 3, 1, 3, 3, 5, 3, 3, 2, 7, 5, 1, 1, 3, 7, 7, 1, 1, 5, 1, 3, 3, 5, 2, 3, 3, 1, 3, 1] 
dagI46.txt 1_4x4.txt True 0.7 0.9 156.25 [1, 0, 7, 5, 3, 0, 7, 0, 1, 1, 1, 3, 7, 7, 1, 7, 7, 1, 1, 0, 3, 7, 2, 5, 3, 2, 3, 2, 1, 1, 1, 0, 3, 5, 1, 7, 1, 3, 7, 1, 3, 3, 3, 5, 3, 7, 5, 2, 5, 3, 3, 1, 7, 1, 2, 3, 5, 5, 5, 1, 3, 1, 6, 5, 1, 3, 4, 7, 4, 3, 5, 1, 7, 4, 6, 6, 4, 5, 3, 7, 7, 7, 5, 5, 7, 5, 5, 5, 5, 7, 4, 1, 7, 7, 1, 3, 6, 5, 7, 5] 
dagI46.txt 1_4x4.txt True 0.71 0.95 159.0 [2, 3, 3, 1, 7, 0, 3, 1, 4, 2, 2, 7, 3, 4, 1, 1, 7, 2, 3, 1, 4, 7, 4, 1, 1, 2, 7, 3, 3, 1, 1, 5, 0, 5, 1, 1, 6, 3, 4, 5, 5, 7, 1, 7, 1, 1, 6, 3, 7, 3, 5, 3, 1, 7, 7, 3, 5, 3, 7, 3, 5, 3, 3, 7, 6, 5, 3, 5, 5, 7, 7, 7, 7, 5, 1, 7, 5, 3, 5, 1, 3, 1, 6, 3, 5, 7, 5, 0, 7, 5, 5, 0, 0, 1, 5, 1, 1, 6, 5, 7] 
dagI46.txt 1_4x4.txt True 0.71 1 159.0 [2, 3, 3, 1, 7, 0, 3, 1, 4, 2, 2, 7, 3, 4, 1, 1, 7, 2, 3, 1, 4, 7, 4, 1, 1, 2, 7, 3, 3, 1, 1, 5, 0, 5, 1, 1, 6, 3, 4, 5, 5, 7, 1, 7, 1, 1, 6, 3, 7, 3, 5, 3, 1, 7, 7, 3, 5, 3, 7, 3, 5, 3, 3, 7, 6, 5, 3, 5, 5, 7, 7, 7, 7, 5, 1, 7, 5, 3, 5, 1, 3, 1, 6, 3, 5, 7, 5, 0, 7, 5, 5, 0, 0, 1, 5, 1, 1, 6, 5, 7] 
dagI46.txt 1_4x2.txt True 0.04666666666666667 0.07 668.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagI46.txt 1_4x2.txt True 0.07666666666666666 0.08 634.5 [3, 3, 3, 3, 3, 3, 0, 3, 0, 3, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3] 
dagI46.txt 1_4x2.txt True 0.05333333333333334 0.09 649.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3] 
dagI46.txt 1_4x2.txt True 0.05333333333333334 0.1 649.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3] 
dagI46.txt 1_4x2.txt True 0.05333333333333334 0.11 649.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3] 
dagI46.txt 1_4x2.txt True 0.05333333333333334 0.12 649.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3] 
dagI46.txt 1_4x2.txt True 0.10333333333333333 0.13 614.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 0, 3] 
dagI46.txt 1_4x2.txt True 0.10333333333333333 0.14 614.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 0, 3] 
dagI46.txt 1_4x2.txt True 0.10333333333333333 0.15 614.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 0, 3] 
dagI46.txt 1_4x2.txt True 0.10333333333333333 0.16 614.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 0, 3] 
dagI46.txt 1_4x2.txt True 0.10333333333333333 0.17 614.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 0, 3] 
dagI46.txt 1_4x2.txt True 0.10333333333333333 0.18 614.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 0, 3] 
dagI46.txt 1_4x2.txt True 0.10333333333333333 0.19 614.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 0, 3] 
dagI46.txt 1_4x2.txt True 0.15 0.2 563.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 1, 0, 3, 3, 0, 3, 1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 0, 1, 0, 3] 
dagI46.txt 1_4x2.txt True 0.15666666666666668 0.25 552.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 0, 0, 1, 0, 1, 3, 3, 3, 0, 0, 3, 1, 1, 0, 0, 1] 
dagI46.txt 1_4x2.txt True 0.15666666666666668 0.3 552.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 0, 0, 1, 0, 1, 3, 3, 3, 0, 0, 3, 1, 1, 0, 0, 1] 
dagI46.txt 1_4x2.txt True 0.15666666666666668 0.35 552.25 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 0, 0, 1, 0, 1, 3, 3, 3, 0, 0, 3, 1, 1, 0, 0, 1] 
